1,2,7201.635865718299
1,39,7332.801412127872
2,3,10192.913903955301
2,25,7305.455925314756
2,30,0.0
3,4,10593.173529826587
3,18,9170.934560644306
4,5,10466.033824060467
4,14,10638.089861919452
5,6,9082.408420102718
5,8,8831.642262761061
6,7,8051.214682102947
6,11,8023.549463025012
6,31,0.0
7,8,8092.3106602953285
8,9,7088.85041096825
9,39,7296.966182829901
10,11,8203.948722930578
10,13,8380.783413546884
10,32,0.0
11,12,8149.715018645269
12,13,8224.01113869778
13,14,9235.951396131964
14,15,9471.766456382627
15,16,9519.456394583247
16,17,9298.884634333604
16,19,0.0
16,21,6959.137858211674
16,24,6959.137858211678
17,18,9290.414686333388
17,27,8089.701088864688
19,20,0.0
19,33,0.0
20,34,0.0
21,22,6842.164365599587
22,23,6285.793131044688
22,35,0.0
23,24,6842.164365599587
23,36,0.0
25,26,7327.30899617063
25,37,0.0
26,27,7851.680622326197
26,28,7413.823533657665
26,29,7482.238896388833
28,29,7346.303100966286
29,38,0.0
