1,2,0.8802868187118649
1,39,0.8755389750278783
2,3,0.7985296260431516
2,25,0.8947545818687842
2,30,0.0
3,4,0.8980900578055262
3,18,0.7826207247979962
4,5,0.8280299066698334
4,14,0.6997545857535672
5,6,0.34164564470125913
5,8,0.2944677102313383
6,7,0.2840712309593624
6,11,0.660121804938141
6,31,0.0
7,8,0.2913441611802331
8,9,0.8150019958558995
9,39,0.8455017383838087
10,11,0.26607056189051626
10,13,0.3199626522799329
10,32,0.0
11,12,0.21512159076856888
12,13,0.24390080245358672
13,14,0.9493157273474153
14,15,1.4678758089669324
15,16,1.457047081701929
16,17,1.4027570307340753
16,19,0.0
16,21,0.33399715504979044
16,24,0.3339971550497901
17,18,0.7747992786368696
17,27,1.0461163669642297
19,20,0.0
19,33,0.0
20,34,0.0
21,22,0.2947368421052664
22,23,0.13314366998577828
22,35,0.0
23,24,0.29473684210526757
23,36,0.0
25,26,0.7951317381319225
25,37,0.0
26,27,0.9663554426049686
26,28,0.06922712185870601
26,29,0.08629682313893224
28,29,0.05310573731626841
29,38,0.0
