1	5
2	6
2	8
3	7
3	18
3	129
3	1
3	2
3	4
4	16
5	9
7	12
7	110
7	5
7	6
8	11
8	14
9	11
10	11
11	13
12	20
12	10
13	19
14	15
15	31
15	74
15	75
15	17
16	36
16	15
18	20
18	72
19	21
19	26
20	23
20	19
21	22
22	24
23	231
23	22
24	25
25	26
25	232
27	28
27	32
27	34
27	35
28	36
29	60
29	63
29	64
30	73
30	29
31	266
31	32
31	34
31	35
31	43
31	74
31	75
32	35
32	37
33	36
34	42
35	36
35	43
35	44
36	40
37	38
37	42
37	46
38	41
38	47
39	52
39	62
39	38
39	40
40	68
41	61
41	92
42	87
43	44
44	45
45	48
46	47
47	48
48	49
49	50
49	55
50	51
51	53
52	54
54	56
54	123
54	53
55	236
55	56
57	190
57	66
58	59
58	237
59	60
59	61
60	64
60	238
61	63
61	66
61	62
62	73
62	240
63	64
64	65
64	67
64	239
64	241
65	66
65	69
66	190
67	190
68	173
68	174
68	73
70	71
70	81
71	72
71	234
71	83
72	78
74	76
75	77
76	78
76	79
77	84
77	86
78	79
79	82
79	83
79	84
80	82
80	83
81	87
81	88
81	89
81	90
82	83
83	85
84	86
85	88
85	233
86	87
86	90
88	235
89	90
89	92
89	93
90	91
91	93
93	186
94	101
95	99
95	103
96	97
97	98
97	245
97	100
98	99
98	100
98	243
99	244
100	94
101	102
101	104
101	136
102	103
102	104
104	105
105	106
105	108
105	111
105	136
105	137
105	148
106	107
106	113
106	147
107	109
107	112
108	109
108	112
109	111
109	130
109	146
109	147
109	110
109	129
111	149
112	116
112	147
112	148
112	150
113	114
113	163
114	115
115	116
115	131
116	119
116	160
116	165
116	167
118	151
119	120
119	121
119	124
119	125
119	126
119	161
120	125
120	153
121	122
121	154
122	124
122	128
122	123
122	127
124	125
124	128
124	159
125	126
127	157
127	158
130	149
131	132
132	140
132	162
133	135
133	162
134	140
134	135
136	138
137	138
137	139
138	96
139	103
141	143
141	144
142	143
142	116
143	134
144	145
146	148
151	152
151	153
152	153
152	154
152	155
154	155
154	158
155	156
156	157
157	158
157	159
160	117
160	166
161	118
163	164
165	167
166	167
167	117
168	187
168	188
168	189
169	210
169	219
170	171
171	204
172	184
172	187
172	175
173	198
173	242
174	198
174	191
175	176
175	189
175	246
176	177
176	190
177	181
177	182
177	189
177	190
178	179
178	189
179	189
179	227
180	183
180	57
181	190
182	190
183	184
183	246
184	185
185	186
185	187
188	177
190	191
191	194
192	193
193	194
193	221
194	195
195	196
196	197
196	198
196	199
197	198
198	216
199	197
199	200
199	217
200	202
201	216
202	203
203	204
203	205
204	170
205	210
206	210
207	208
207	210
207	213
208	169
208	209
210	211
210	216
211	212
213	214
213	216
213	215
214	217
217	218
219	230
220	216
221	224
221	226
222	223
222	224
223	225
224	225
224	226
225	226
226	227
227	228
228	229
245	99
247	1
248	2
249	3
250	11
251	12
252	17
253	22
254	23
255	33
256	38
257	43
258	48
259	49
260	53
261	54
262	59
263	109
264	118
265	145
266	270
266	271
266	273
267	274
267	277
268	280
268	281
268	282
268	291
268	283
268	284
268	285
268	286
268	287
269	288
269	289
269	290
270	292
270	293
270	294
270	295
270	296
271	272
271	268
272	297
272	298
272	268
273	267
273	299
274	276
274	275
276	278
276	279
291	269
294	300
