1,2,1,3
1,2,2,12
1,2,8,9
1,2,9,10
1,2,12,117
1,2,68,116
1,2,71,73
1,2,85,86
1,2,86,87
1,2,110,111
1,2,110,112
1,3,2,12
1,3,8,9
1,3,9,10
1,3,12,117
1,3,68,116
1,3,71,73
1,3,85,86
1,3,86,87
1,3,110,111
1,3,110,112
2,12,8,9
2,12,9,10
2,12,12,117
2,12,68,116
2,12,71,73
2,12,85,86
2,12,86,87
2,12,110,111
2,12,110,112
3,5,8,9
3,5,9,10
3,5,12,117
3,5,68,116
3,5,71,73
3,5,85,86
3,5,86,87
3,5,110,111
3,5,110,112
3,12,8,9
3,12,9,10
3,12,12,117
3,12,68,116
3,12,71,73
3,12,85,86
3,12,86,87
3,12,110,111
3,12,110,112
4,5,4,11
4,5,8,9
4,5,9,10
4,5,12,117
4,5,68,116
4,5,71,73
4,5,85,86
4,5,86,87
4,5,110,111
4,5,110,112
4,11,8,9
4,11,9,10
4,11,12,117
4,11,68,116
4,11,71,73
4,11,85,86
4,11,86,87
4,11,110,111
4,11,110,112
5,6,6,7
5,6,7,12
5,6,8,9
5,6,9,10
5,6,12,117
5,6,68,116
5,6,71,73
5,6,85,86
5,6,86,87
5,6,110,111
5,6,110,112
5,8,8,9
5,8,8,30
5,8,9,10
5,8,12,117
5,8,68,116
5,8,71,73
5,8,85,86
5,8,86,87
5,8,110,111
5,8,110,112
5,11,8,9
5,11,9,10
5,11,12,117
5,11,68,116
5,11,71,73
5,11,85,86
5,11,86,87
5,11,110,111
5,11,110,112
6,7,7,12
6,7,8,9
6,7,9,10
6,7,12,117
6,7,68,116
6,7,71,73
6,7,85,86
6,7,86,87
6,7,110,111
6,7,110,112
7,12,8,9
7,12,9,10
7,12,12,117
7,12,68,116
7,12,71,73
7,12,85,86
7,12,86,87
7,12,110,111
7,12,110,112
8,9,8,30
8,9,9,10
8,9,11,12
8,9,11,13
8,9,12,14
8,9,12,16
8,9,12,117
8,9,13,15
8,9,14,15
8,9,15,17
8,9,15,19
8,9,15,33
8,9,16,17
8,9,17,18
8,9,17,30
8,9,17,31
8,9,17,113
8,9,18,19
8,9,19,20
8,9,19,34
8,9,20,21
8,9,21,22
8,9,22,23
8,9,23,24
8,9,23,25
8,9,23,32
8,9,24,70
8,9,24,72
8,9,25,26
8,9,25,27
8,9,26,30
8,9,27,28
8,9,27,32
8,9,27,115
